CR,Size_Rank,is_swarm,Type_aberration,Type_beast,Type_construct,Type_dragon,Type_elemental,Type_fiend,Type_giant,Type_humanoid,Type_monstrosity,Type_other,Type_undead,Is_Legendary,Is_Spellcaster,Log_Avg_HP,AC_Z,Strength_Z,Dexterity_Z,Constitution_Z,Intelligence_Z,Wisdom_Z,Charisma_Z,Max_Speed_Z,Trait_Count_MM,Action_Count_MM,Movement_Count_MM
8.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.820281565605037,0.10595148967218501,0.9792571421818654,-1.6243089294879998,0.4017375186871916,-0.8268712334767233,-0.7886676202667634,-0.6490897044290656,0.08299571976935255,0.125,1.0,0.0
0.25,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6390573296152584,-0.9059820592073284,-0.8529454471938389,0.17267339746409557,-1.2706557350120817,0.05383426735540291,-0.22536660397547761,-0.11767293209210913,0.6001990296778568,0.0,0.25,0.3333333333333333
4.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.204692619390966,0.44326267263202285,-0.8529454471938389,0.7716675064481274,-0.7928290910980036,0.4061164676882534,1.182885936752737,0.059465992020209676,0.6001990296778568,0.0,0.25,0.3333333333333333
0.125,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101490553132,-0.9059820592073284,-0.8529454471938389,0.17267339746409557,-1.2706557350120817,0.05383426735540291,-0.22536660397547761,-0.11767293209210913,0.6001990296778568,0.125,0.25,0.3333333333333333
0.25,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4849066497880004,-0.9059820592073284,-0.8529454471938389,0.17267339746409557,-0.7928290910980036,0.05383426735540291,-0.22536660397547761,-0.11767293209210913,0.6001990296778568,0.0,0.125,0.3333333333333333
6.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.713572066704308,-0.9059820592073284,-1.0195093189552666,0.17267339746409557,-1.0317424130550426,1.1106808683539544,-0.22536660397547761,-0.11767293209210913,0.6001990296778568,0.0,0.0,0.3333333333333333
3.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.330733340286331,0.44326267263202285,0.4795655268975825,-1.025314820503968,-0.07608912522688649,0.22997536752182815,0.33793441231580823,0.059465992020209676,-0.9514109000476559,0.0,0.375,0.3333333333333333
2.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.970291913552122,-0.23135969328765282,-0.5198177036709836,-1.025314820503968,-0.3150024471839255,0.4061164676882534,0.901235428607094,-0.29481185620442796,-0.9514109000476559,0.0,0.375,0.3333333333333333
2.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6635616461296463,0.10595148967218501,-0.18668996014812822,-0.4263207115199362,-0.5539157691409645,-0.12230683281102232,0.05628390417016531,-0.29481185620442796,-0.9514109000476559,0.0,0.25,0.3333333333333333
8.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.927253685157205,-0.23135969328765282,-0.8529454471938389,1.670158669924175,-0.7928290910980036,0.934539768187529,1.46453644489838,0.5908827643571661,-0.4342075901391517,0.0,0.375,0.0
