name,cr,size,ac,hp,legendary,str,dex,con,int,wis,cha,has_fly,has_swim,is_shapechanger,type_aberration,type_beast,type_celestial,type_construct,type_dragon,type_elemental,type_fey,type_fiend,type_giant,type_humanoid,type_monstrosity,type_ooze,type_plant,type_swarm,type_undead
aarakocra,0.25,2,12,13,False,10.0,14.0,10.0,11.0,12.0,11.0,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
aboleth,10.0,3,17,135,True,21.0,9.0,15.0,18.0,15.0,18.0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
abominable-yeti,9.0,4,15,137,False,24.0,10.0,22.0,9.0,13.0,9.0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
acererak,23.0,2,21,285,True,13.0,16.0,20.0,27.0,21.0,20.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
acolyte,0.25,2,10,9,False,10.0,10.0,10.0,10.0,14.0,11.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
adult-black-dragon,14.0,4,19,195,True,23.0,14.0,21.0,14.0,13.0,17.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-blue-dracolich,17.0,4,19,225,True,25.0,10.0,23.0,16.0,15.0,19.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
adult-blue-dragon,16.0,4,19,225,True,25.0,10.0,23.0,16.0,15.0,19.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-brass-dragon,13.0,4,18,172,True,23.0,10.0,21.0,14.0,13.0,17.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-bronze-dragon,15.0,4,19,212,True,25.0,10.0,23.0,16.0,15.0,19.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-copper-dragon,14.0,4,18,184,True,23.0,12.0,21.0,18.0,15.0,17.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-gold-dragon,17.0,4,19,256,True,27.0,14.0,25.0,16.0,15.0,24.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-green-dragon,15.0,4,19,207,True,23.0,12.0,21.0,18.0,15.0,17.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-kruthik,2.0,2,18,39,False,15.0,16.0,15.0,7.0,12.0,8.0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
adult-oblex,5.0,2,14,75,False,8.0,19.0,16.0,19.0,12.0,15.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
adult-red-dragon,17.0,4,19,256,True,27.0,10.0,25.0,16.0,13.0,21.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-silver-dragon,16.0,4,19,243,True,27.0,10.0,25.0,16.0,13.0,21.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
adult-white-dragon,13.0,4,18,200,True,22.0,10.0,22.0,8.0,12.0,12.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
air-elemental,5.0,3,15,90,False,14.0,20.0,14.0,6.0,10.0,6.0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
air-elemental-myrmidon,7.0,2,18,117,False,18.0,14.0,14.0,9.0,10.0,10.0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
alhoon,10.0,2,15,120,False,11.0,12.0,16.0,19.0,17.0,17.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
alkilith,11.0,2,17,157,False,12.0,19.0,22.0,6.0,11.0,7.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
allip,5.0,2,13,40,False,6.0,17.0,10.0,17.0,15.0,16.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
allosaurus,2.0,3,13,51,False,19.0,13.0,17.0,2.0,12.0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
amnizu,18.0,2,21,202,False,11.0,13.0,16.0,20.0,12.0,18.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ancient-black-dragon,21.0,5,22,367,True,27.0,14.0,25.0,16.0,15.0,19.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-blue-dragon,23.0,5,22,481,True,29.0,10.0,27.0,18.0,17.0,21.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-brass-dragon,20.0,5,20,297,True,27.0,10.0,25.0,16.0,15.0,19.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-bronze-dragon,22.0,5,22,444,True,29.0,10.0,27.0,18.0,17.0,21.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-copper-dragon,21.0,5,21,350,True,27.0,12.0,25.0,20.0,17.0,19.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-gold-dragon,24.0,5,22,546,True,30.0,14.0,29.0,18.0,17.0,28.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-green-dragon,22.0,5,21,385,True,27.0,12.0,25.0,20.0,17.0,19.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-red-dragon,24.0,5,22,546,True,30.0,10.0,29.0,18.0,15.0,23.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-shadow,1.0,2,13,32,False,6.0,16.0,14.0,6.0,10.0,8.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ancient-silver-dragon,23.0,5,22,487,True,30.0,10.0,29.0,18.0,15.0,23.0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ancient-white-dragon,20.0,5,20,333,True,26.0,10.0,26.0,10.0,13.0,14.0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
androsphinx,17.0,3,17,199,True,22.0,10.0,20.0,16.0,18.0,23.0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
animated-armor,1.0,2,18,33,False,14.0,11.0,13.0,1.0,3.0,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ankheg,2.0,3,14,39,False,17.0,11.0,13.0,1.0,13.0,6.0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ankylosaurus,3.0,4,15,68,False,19.0,11.0,15.0,2.0,12.0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
annis-hag,6.0,3,17,75,False,21.0,12.0,14.0,13.0,14.0,15.0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ape,0.5,2,12,19,False,16.0,14.0,14.0,6.0,12.0,7.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
apprentice-wizard,0.25,2,10,9,False,10.0,10.0,10.0,14.0,10.0,11.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
arcanaloth,12.0,2,17,104,False,17.0,12.0,14.0,20.0,16.0,17.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
archdruid,12.0,2,16,132,False,14.0,14.0,12.0,12.0,20.0,11.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
archer,3.0,2,16,75,False,11.0,18.0,16.0,11.0,13.0,10.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
archmage,12.0,2,12,99,False,10.0,14.0,12.0,20.0,15.0,16.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
armanite,7.0,3,16,84,False,21.0,18.0,21.0,8.0,12.0,13.0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
assassin,8.0,2,15,78,False,11.0,16.0,14.0,13.0,11.0,10.0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
assassin-vine,3.0,3,13,85,False,18.0,10.0,16.0,1.0,10.0,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
